state,stars
TN,5.000
NJ,4.875
VT,4.500
XWY,4.500
XGL,4.333
TX,4.145
AL,4.083
VA,4.000
CA,3.928
QC,3.844
NV,3.756
AZ,3.755
BAS,3.750
WI,3.718
PA,3.716
XGM,3.714
NC,3.671
OH,3.671
CON,3.667
DUR,3.667
SC,3.589
IL,3.583
AB,3.577
ON,3.537
CT,3.471
DOW,3.250
NY,3.064
GA,3.000
AK,2.857
NM,2.714
NE,2.583
UT,2.250
AR,2.000
WA,1.684
FL,1.511
BC,1.333
